Authors,Publication Year,Cases,Cases_BMI_Mean ,Cases_BMI_SD,Controls,Controls_BMI_Mean,Controls_BMI_SD
Chung et al.,2016,48,23.5,2.6,48,22.6,2.4
Gumina et al.,2014,206,28.8,5,100,27.66,6
Seo et al.,2019,964,25.1,3.1,105,24.6,3.3
Suh et al.,2020,192,24.63,2.8,115,24.27,2.66
Blonna et al.,2016,80,24.5,3,120,24.7,4.1
Song et al.,2022,1731,31,7,1007,29,7
Park et al.,2018,107,25,3,200,24,3
