Authors,Publication Year,OR,LCI,UCI,Study-Design,SE
Seo et. al,2019,1.016323926,0.176505462,1.85614239,cross-sectional,0.428478808
Applegate et. al,2017,1,0.875596226,1.124403774,cross-sectional,0.063471313
Yanik et. al,2020,1.19,1.14,1.24,cross-sectional,0.021449775
Roquelaure et. al (men),2011,1.216652902,0.953251638,1.480054166,case-control,0.1343884
Silverstein et. al,2008,1.216652902,0.976082822,1.457222982,case-control,0.122739837
Suh et. al,2020,1.469328077,0.983938041,1.954718113,case-control,0.247647978
Park et al,2018,1.538623955,1.174344427,1.902903483,cohort,0.185856902
